Generator Name,EIA_ID
Venice_1,72
Horse Mesa HM1,145
Horse Mesa HM2,145
Horse Mesa HM3,145
Mormon Flat 1,148
Roosevelt,149
Stewart Mountain,150
Davis Dam 1,152
Davis Dam 2,152
Davis Dam 3,152
Davis Dam 4,152
Davis Dam 5,152
Glen Canyon 1,153
Glen Canyon 2,153
Glen Canyon 3,153
Glen Canyon 4,153
Glen Canyon 5,153
Glen Canyon 6,153
Glen Canyon 7,153
Glen Canyon 8,153
Hoover Dam N1,154
Hoover Dam N2,154
Hoover Dam N3,154
Hoover Dam N4,154
Hoover Dam N5,154
Hoover Dam N6,154
Hoover Dam N7,154
Hoover Dam N8,154
Balch1-1,217
Balch2-2,218
Balch2-3,218
Belden_1,219
Bucks_Creek_H1,220
Bucks_Creek_H2,220
Butt_Valley_1,221
Caribou1-1,222
Caribou1-2,222
Caribou1-3,222
Caribou_2_4,223
Caribou_2_5,223
Centerville1,224
Centerville2,224
Cow_Creek_1,229
Cow_Creek_2,229
Crane_Valley,230
Cresta_1,231
Cresta_2,231
Drum1-1,235
Drum1-2,235
Drum1-3,235
Drum1-4,235
Drum_2_5,236
Electra_1,239
Electra_2,239
Electra_3,239
Haas1,240
Haas2,240
Halsey_1,241
HamiltonBranch1,242
HamiltonBranch2,242
James_B_Black_1,249
James_B_Black_2,249
Kerckhoff_H1,250
Kerckhoff_H2,250
Kerckhoff_H3,250
KingsRiverHY,254
Pit_1_H1,265
Pit_1_H2,265
Pit_3_H1,266
Pit_3_H2,266
Pit_3_H3,266
Pit_4_1,267
Pit_4_2,267
Pit_5_H1,268
Pit_5_H2,268
Pit_5_H3,268
Pit_5_H4,268
Pit_6_H1,269
Pit_6_H2,269
Pit_7_H1,270
Pit_7_H2,270
Poe_1,272
Poe_2,272
Rock_Creek_H1,275
Rock_Creek_H2,275
Salt_Springs_1,279
Salt_Springs_2,279
Stanislaus_HC1,285
Tiger_Creek_H1,287
Tiger_Creek_H2,287
Drop 5,314
BigCreek1-1,317
BigCreek1-2,317
BigCreek1-3,317
BigCreek1-4,317
BigCreek2-3,318
BigCreek2-4,318
BigCreek2-5,318
BigCreek2-6,318
BigCreek3-1,319
BigCreek3-2,319
BigCreek3-3,319
BigCreek3-4,319
BigCreek3-5,319
BigCreek4-1,320
BigCreek4-2,320
BigCreek8-1,321
BigCreek8-2,321
BigCreek2A-1,322
BigCreek2A-2,322
Borel1,328
Kaweah1,337
KernRiver1_1,340
KernRiver1-2,340
KernRiver1-3,340
KernRiver1-4,340
Lundy1,342
MammothPool1,344
MammothPool2,344
Poole_1,353
Pardee_1,376
Pardee_2,376
Pardee_3,376
Dion_R_Holm_1,380
Dion_R_Holm_2,380
Moccasin_1,381
Moccasin_2,381
R_C_Kirkwood_1,382
R_C_Kirkwood_2,382
R_C_Kirkwood_3,382
Drop 2-1,385
Drop 2-2,385
Drop 3-1,386
Drop 3-2,386
Drop 4-1,387
Drop 4-2,387
Pilot Knob 1,388
Pilot Knob 2,388
Big Pine,391
Castaic 7,392
Control Gorge 1,393
Cottonwood 1,394
Cottonwood 2,394
Division Creek,395
Haiwee 1,398
Haiwee 2,398
Middle Gorge,401
Pleasant Valley,402
Upper Gorge,407
Exchequer,409
McSwain_1,410
Chicago_Park_2P,412
Donnells,415
Kelly_Ridge_1,418
Woodleaf,419
French_Meadows,424
Hell_Hole,424
MIddleFork1,425
MIddleFork2,425
Oxbow_(CA)_1,426
Ralston,427
Camino 1,430
Camino 2,430
Jaybird H1,431
Jaybird H2,431
Loon Lake,432
Robbs Peak H1,433
White Rock 1,435
White Rock 2,435
DevilCanyon1,436
DevilCanyon2,436
DevilCanyon3,436
DevilCanyon4,436
EdwardCHyatt1,437
EdwardCHyatt2a,437
EdwardCHyatt3,437
EdwardCHyatt4a,437
EdwardCHyatt5,437
EdwardCHyatt6a,437
Thermalito_1,438
Don Pedro 1,439
Don Pedro 2,439
Don Pedro 3,439
Don Pedro 4,439
La Grange 1-2,440
Folsom 1,441
Folsom 2,441
Folsom 3,441
Judge F Carr 1,442
Judge F Carr 2,442
Keswick 1,443
Keswick 2,443
Keswick 3,443
Shasta 1,445
Shasta 2,445
Shasta 3,445
Shasta 4,445
Shasta 5,445
Parker Dam 1,447
Parker Dam 2,447
Parker Dam 3,447
Parker Dam 4,447
Spring Creek 1,450
Spring Creek 2,450
Trinity 1,451
Trinity 2,451
Colgate_1,454
Colgate_2,454
Narrows2,455
Georgetown 1-2,472
Salida 1-2,474
Shoshone A,476
Shoshone B,476
Upper Dawson 1,489
Boysen1,505
Boysen2,505
Blue Mesa 1,512
Blue Mesa 2,512
Estes 1,513
Estes 2,513
Estes 3,513
Morrow Point 1,514
Morrow Point 2,514
BigThompson,515
Green Mountain 1,516
Green Mountain 2,516
Marys Lake,517
Flatiron 1,518
Flatiron 2,518
Pole Hill,519
Lower Molina,520
Upper Molina,521
Jones Fork H1,534
Camanche_1,537
Camanche_2,537
Camanche_3,537
Navajo Dam 1,584
Navajo Dam 2,584
Drop 1,585
East Highline,586
SouthForkTolt,622
Kerckhoff_2_1,682
Etiwanda_Hydro,745
Gem_State_1,790
AmericanFalls1,809
AmericanFalls2,809
AmericanFalls3,809
Bliss1,810
Bliss2,810
Bliss3,810
Brownlee1,811
Brownlee2,811
Brownlee3,811
Brownlee4,811
Brownlee5,811
C_J_Strike_1,812
C_J_Strike_2,812
C_J_Strike_3,812
Cascade_ID_1,813
Cascade_ID_2,813
Clear_Lake_ID,814
Lower_Malad_1,815
Lower_Salmon_1,816
Lower_Salmon_2,816
Lower_Salmon_3,816
Lower_Salmon_4,816
ShoshnFalls1,818
Swan_Falls_1,819
Swan_Falls_2,819
Twin_Falls_1,821
Twin_Falls_2,821
Upper_Salmon1,822
Upper_Salmon2,822
Grace_3,827
Grace_4,827
Grace_5,827
Oneida_1,829
Oneida_2,829
Oneida_3,829
Soda_1,831
Soda_2,831
CabinetGorge1,833
CabinetGorge2,833
CabinetGorge3,833
CabinetGorge4,833
Post_Falls_1,835
Post_Falls_2,835
Post_Falls_3,835
Post_Falls_4,835
Post_Falls_5,835
Post_Falls_6,835
Dworshak_1,840
Dworshak_2,840
Dworshak_3,840
Palisades_1,850
Palisades_2,850
Palisades_3,850
Palisades_4,850
AlbeniFalls1,851
AlbeniFalls2,851
AlbeniFalls3,851
Alamo_1,905
QuincyChute,917
Lewiston_1,977
BlackEagle1,2181
BlackEagle2,2181
BlackEagle3,2181
Cochrane_COC1,2182
Cochrane_COC2,2182
Holter_HOL1,2186
Holter_HOL2,2186
Holter_HOL3,2186
Holter_HOL4,2186
Kerr_KER1,2188
Kerr_KER2,2188
Kerr_KER3,2188
Morony_MOR1,2191
Morony_MOR2,2191
Rainbow9,2193
Ryan1,2194
Ryan2,2194
Ryan3,2194
Ryan4,2194
Ryan5,2194
Ryan6,2194
Thompson_Falls1,2195
Thompson_Falls2,2195
Thompson_Falls3,2195
Thompson_Falls4,2195
Thompson_Falls5,2195
Thompson_Falls6,2195
Thompson_Falls7,2195
Noxon_Rapids_1,2199
Noxon_Rapids_2,2199
Noxon_Rapids_3,2199
Noxon_Rapids_4,2199
Noxon_Rapids_5,2199
Hungry_Horse_1,2203
Hungry_Horse_2,2203
Hungry_Horse_3,2203
Hungry_Horse_4,2203
Yellowtail 1,2204
Yellowtail 2,2204
Yellowtail 3,2204
Yellowtail 4,2204
Hells_Canyon_1,3013
Hells_Canyon_2,3013
Hells_Canyon_3,3013
Oxbow_(OR)_1,3014
Oxbow_(OR)_2,3014
Oxbow_(OR)_3,3014
Oxbow_(OR)_4,3014
Clearwater1,3020
Clearwater2,3021
Eagle_Point_1,3024
EastSide,3025
Fish_Creek_1,3026
John_C_Boyle_1,3028
John_C_Boyle_2,3028
Lemolo1-1,3029
Prospect1,3032
Prospect2-1,3033
Prospect2-2,3033
Prospect3,3034
Prospect4,3035
Slide_Creek_1,3036
Soda_Springs_1,3037
Toketee_Falls_1,3040
Toketee_Falls_2,3040
Toketee_Falls_3,3040
Faraday_1,3045
Faraday_2,3045
Faraday_3,3045
Faraday_4,3045
Faraday_5,3045
Faraday_6,3045
NorthFork_OR1,3047
NorthFork_OR2,3047
Pelton_1,3048
Pelton_2,3048
Pelton_3,3048
River_Mill_1,3049
River_Mill_2,3049
River_Mill_3,3049
River_Mill_4,3049
River_Mill_5,3049
Round_Butte_1,3050
Round_Butte_2,3050
Round_Butte_3,3050
Sullivan_1,3053
Carmen_Smith_1,3067
Carmen_Smith_2,3067
Carmen_Smith_3,3067
Leaburg (EWEB),3068
Walterville_1,3071
Big_Cliff_1,3074
Bonneville,3075
Cougar_1,3076
Cougar_2,3076
Detroit_1,3077
Detroit_2,3077
Dexter_1,3078
Green_Peter_1,3080
Green_Peter_2,3080
HillsCreek1,3081
HillsCreek2,3081
John Day,3082
Lookout_Point_1,3083
Lookout_Point_2,3083
Lookout_Point_3,3083
McNary,3084
Cutler_1,3646
Cutler_2,3646
Merwin_1,3847
Merwin_2,3847
Merwin_3,3847
Swift_1_HY11,3850
Swift_1_HY12,3850
Swift_1_HY13,3850
Yale1,3852
Yale2,3852
Electron_1,3854
Electron_2,3854
Electron_3,3854
Electron_4,3854
Lower_Baker_3,3855
LowerBaker4,3855
Snoqualmie1 5,3860
Snoqualmie1 1-4,3860
Upper_Baker_1,3861
Upper_Baker_2,3861
Little_Falls_1,3866
Little_Falls_2,3866
Little_Falls_3,3866
Little_Falls_4,3866
Long_Lake_1,3867
Long_Lake_2,3867
Long_Lake_3,3867
Long_Lake_4,3867
MeyersFalls1,3868
MeyersFalls2,3868
NineMile1Exp,3869
NineMile2Exp,3869
NineMile3,3869
NineMile4,3869
Rocky Reach,3883
Wells,3886
Priest Rapids,3887
Wanapum,3888
BoxCanyonAVA1,3891
BoxCanyonAVA2,3891
BoxCanyonAVA3,3891
BoxCanyonAVA4,3891
The Dalles,3895
Alder11,3913
Alder12,3913
Cushman1-21,3914
Cushman1-22,3914
Cushman_2_31,3915
Cushman_2_32,3915
Cushman_2_33,3915
LaGrande_1,3916
LaGrande_2,3916
LaGrande_3,3916
LaGrande_4,3916
LaGrande_5,3916
Mayfield_41,3917
Mayfield_42,3917
Mayfield_43,3917
Mayfield_44,3917
Mossyrock_51,3918
Mossyrock_52,3918
Chief Joseph,3921
Ice Harbor,3925
Little Goose,3926
Lower Monumental,3927
Packwood,3929
Fremont Canyon 1,4176
Fremont Canyon 2,4176
Glendo 1,4177
Glendo 2,4177
Guernsey 1,4178
Guernsey 2,4178
Kortes 1,4180
Kortes 2,4180
Kortes 3,4180
Seminoe 1,4182
Seminoe 2,4182
Seminoe 3,4182
Shoshone 1,4183
Fontenelle,4185
PHP1-1,4213
PHP_2_2,4214
EchoDam1,4263
New Melones 1,6158
New Melones 2,6158
Crystal 1,6159
Grand Coulee,6163
Libby_1,6172
Libby_2,6172
Libby_3,6172
Libby_4,6172
Libby_5,6172
LostCreek_OR1,6174
LostCreek_OR2,6174
Lower Granite,6175
W_E_Warne_1,6196
W_E_Warne_2,6196
Rock Island,6200
Ross_41,6202
Ross_42,6202
Ross_43,6202
Ross_44,6202
Swift_2_21,6265
Swift_2_22,6265
AndersonRanch1,6395
AndersonRanch2,6395
BlackCanyon1,6396
BlackCanyon2,6396
BoiseRDiversion1A,6397
BoiseRDiversion2A,6397
BoiseRDiversion3A,6397
Minidoka_6,6398
Minidoka_7,6398
Minidoka_8,6398
Minidoka_9,6398
Canyon_Ferry_1,6400
Canyon_Ferry_2,6400
Canyon_Ferry_3,6400
Elephant Butte 1,6402
Elephant Butte 2,6402
Elephant Butte 3,6402
Green_Springs,6403
Flaming Gorge 1,6405
Flaming Gorge 2,6405
Flaming Gorge 3,6405
Chandler 1-2,6406
Roza_1,6407
Heart Mountain,6408
Alcova 1,6409
Alcova 2,6409
Lemolo_2_1,6421
Chelan_A_1,6424
Chelan_A_2,6424
Cedar_Falls_5,6430
Cedar_Falls_6,6430
Gorge21,6431
Gorge22,6431
Gorge23,6431
Gorge24,6431
DiabloHydro_31,6432
DiabloHydro_32,6432
Boundary51,6433
Boundary52,6433
Boundary53,6433
Boundary54,6433
Boundary55,6433
Boundary56,6433
San Francisquito 1-1,6479
San Francisquito 1-3,6479
San Francisquito 1-4,6479
San Francisquito 1-6,6479
San Francisquito 2-1,6480
San Francisquito 2-2,6480
San Francisquito 2-3,6480
Bend1,6484
Oak_Grove_1,6505
Oak_Grove_2,6505
MoyieSprings1,6506
Foster_1,6552
Foster_2,6552
Union Valley,6612
FortPeck1,6623
FortPeck2,6623
FortPeck3,6623
Mojave_Siphon_1,7072
Mojave_Siphon_2,7072
Mojave_Siphon_3,7072
Upper_Salmon3,7079
Upper_Salmon4,7079
PEC_Headworks_1,7113
Wynoochee,7127
StonyGorge1,7151
StonyGorge2,7151
Headgate Rock 1,7179
Headgate Rock 2,7179
Headgate Rock 3,7179
Whiskeytown,7189
Milner_Hydro_1,7190
Milner_Hydro_2,7190
Tesla,7233
Buffalo Bill 1,7317
Buffalo Bill 2,7317
Buffalo Bill 3,7317
McPhee,7372
Towaoc,7373
Cowlitz_Falls1,7427
Cowlitz_Falls2,7427
Stone_Creek_1,7508
McNaryFishway,7511
Spirit Mountain,7541
H_M_Jackson_1,7588
H_M_Jackson_2,7588
H_M_Jackson_3,7588
H_M_Jackson_4,7588
El Vado Dam,7593
Abiquiu 1-3,7789
Snoqualmie2 6,7867
Snoqualmie2 7,7867
Pine_Flat_1,7907
Pine_Flat_2,7907
Pine_Flat_3,7907
Hoover Dam A1,8902
Hoover Dam A2,8902
Hoover Dam A3,8902
Hoover Dam A4,8902
Hoover Dam A5,8902
Hoover Dam A6,8902
Hoover Dam A7,8902
Hoover Dam A8,8902
Hoover Dam A9,8902
Monroe_Street_6,9095
Upper_Falls_1,9096
LuckyPeak131,10014
LuckyPeak132,10014
LuckyPeak133,10014
Foothills CO,10070
Strontia Springs,10081
Dillon Hydro,10421
Williams Fork,10422
MuckValley,10458
CoveHydro1,10707
BarberDamGEN1,10735
MagicDam1,10740
Hatchet_Creek,10882
LAKESISK,50179
Olsen_GEN1,50180
Site_980_65,50322
MichellButte,50360
Upriver_Dam1,50380
Upriver_Dam2,50380
Upriver_Dam3,50380
Upriver_Dam4,50380
Upriver_Dam5,50380
New Hogan 1,50755
New Hogan 2,50755
Twin_Falls1,50827
Twin_Falls2,50827
Bypass_GEN1,50895
S_E_Hazelton1,50896
Siphon1,50980
Smith Falls (EWEB),54249
OpalSpringsHydro1,54251
Koma_Kulshan,54267
WilsonLake1,54306
BlindCanyon,54514
HorseshoBendHY1,54524
Spicer Meadow 1-3,54554
Collierville 1,54555
Collierville 2,54555
Hazelton_B1,54558
WarmSpringsPwr,54721
MoraDrop,56498
Tiber_Dam,56499
Russell_D_smith,56694
Summer_Falls1,56695
Summer_Falls2,56695
Eltopia_Branch,56696
Potholes_East,56697
MainCanal,56698
TietonDamHydroUNIT1,57496
